epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2969,0.4798,0.3586,0.84062,0.97555,0.9963,0.995,0.8619,0.54839,0.35117,0.79455,0.00076438,0.00076438,0.00076438
121,2994.75,0.47397,0.35694,0.8356,0.97736,0.9934,0.995,0.85439,0.55169,0.35279,0.79339,0.0007624,0.0007624,0.0007624
122,3020.22,0.4709,0.36072,0.85726,0.97307,0.99183,0.995,0.85973,0.55508,0.36823,0.79459,0.00076042,0.00076042,0.00076042
123,3045.72,0.47321,0.36365,0.84557,0.96242,0.99566,0.995,0.85944,0.5513,0.37065,0.79316,0.00075844,0.00075844,0.00075844
124,3071.33,0.46458,0.36863,0.83854,0.96959,0.99803,0.995,0.8573,0.5712,0.36366,0.79706,0.00075646,0.00075646,0.00075646
125,3096.93,0.47314,0.36458,0.83526,0.97969,0.9972,0.995,0.8446,0.56561,0.36558,0.79827,0.00075448,0.00075448,0.00075448
126,3124.26,0.4611,0.35523,0.83107,0.98335,0.99804,0.995,0.84827,0.56449,0.35731,0.79695,0.0007525,0.0007525,0.0007525
127,3151.03,0.4502,0.3591,0.84668,0.97728,0.99623,0.995,0.8421,0.56787,0.36622,0.79667,0.00075052,0.00075052,0.00075052
128,3176.92,0.43778,0.35646,0.83546,0.97802,0.99819,0.995,0.86241,0.54218,0.35665,0.79552,0.00074854,0.00074854,0.00074854
129,3203.27,0.4646,0.35436,0.84431,0.98442,0.9974,0.995,0.86116,0.5418,0.34735,0.79634,0.00074656,0.00074656,0.00074656
130,3230.31,0.45177,0.3423,0.83423,0.98802,1,0.995,0.86145,0.56184,0.34189,0.79623,0.00074458,0.00074458,0.00074458
131,3258.66,0.46419,0.35094,0.8364,0.98996,1,0.995,0.85758,0.55587,0.34092,0.7943,0.0007426,0.0007426,0.0007426
132,3285.78,0.45517,0.3463,0.86921,0.97893,1,0.995,0.85995,0.53699,0.34455,0.79366,0.00074062,0.00074062,0.00074062
133,3311.81,0.45133,0.3511,0.84339,0.98149,1,0.995,0.85721,0.53973,0.34766,0.79381,0.00073864,0.00073864,0.00073864
134,3337.46,0.47438,0.34751,0.85006,0.98456,1,0.995,0.87213,0.52009,0.34258,0.7885,0.00073666,0.00073666,0.00073666
135,3362.81,0.45278,0.34854,0.84189,0.985,1,0.995,0.8744,0.50837,0.3362,0.7873,0.00073468,0.00073468,0.00073468
136,3388.04,0.45985,0.34474,0.83218,0.97136,0.9972,0.995,0.85927,0.52374,0.33515,0.79093,0.0007327,0.0007327,0.0007327
137,3413.48,0.46679,0.33326,0.83117,0.96203,0.99666,0.995,0.85716,0.53422,0.34196,0.7923,0.00073072,0.00073072,0.00073072
138,3439.22,0.44284,0.34407,0.84261,0.97499,1,0.995,0.85897,0.54031,0.3472,0.79141,0.00072874,0.00072874,0.00072874
139,3464.48,0.46082,0.35583,0.85083,0.9845,1,0.995,0.86103,0.54258,0.34177,0.79238,0.00072676,0.00072676,0.00072676
140,3489.57,0.44687,0.33987,0.85892,0.98939,1,0.995,0.85088,0.5493,0.34178,0.79504,0.00072478,0.00072478,0.00072478
141,3514.83,0.43439,0.33033,0.82763,0.98739,1,0.995,0.85403,0.54949,0.34321,0.79367,0.0007228,0.0007228,0.0007228
142,3540.47,0.46127,0.34369,0.85814,0.96662,0.99413,0.995,0.86446,0.56069,0.34463,0.79495,0.00072082,0.00072082,0.00072082
143,3566.13,0.4717,0.35851,0.8582,0.97025,0.98948,0.995,0.86176,0.55733,0.35462,0.79689,0.00071884,0.00071884,0.00071884
144,3591.64,0.44702,0.3519,0.83517,0.98952,1,0.995,0.86078,0.55335,0.35476,0.7941,0.00071686,0.00071686,0.00071686
